geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
mlt,Malta,0.81,0.55,0.8,0.26,0.55,0.27,0.27,1.6,0.36,0.37,0.87,0.85,0.32,0.76,0.41,0.57,0.89,0.22,0.37,0.27,0.24,0.22,0.39,0.29,0.31
mmr,Myanmar,242,226,210,191,171,160,145,138,140,135,121,106,92,88,76,68,61,59,46,42,47,68,82,76,67
mne,Montenegro,,,,,,0.69,1.1,1.5,0.71,0.2,0.31,0.2,0.2,0.39,0.2,0.28,0.2,0.2,0.27,0.2,0.19,0.2,0.2,0.19,0.18
mng,Mongolia,20,20,19,19,18,17,17,16,15,13,13,12,12,12,12,11,11,11,11,10,10,11,12,11,11
moz,Mozambique,156,152,141,133,128,125,125,113,122,120,121,123,118,106,99,100,73,51,41,39,40,41,28,23,41
mrt,Mauritania,57,58,56,53,44,58,48,40,39,37,36,40,27,29,24,25,22,19,19,16,16,14,12,11,10
mus,Mauritius,2.8,2.4,2.5,1.3,1.5,1.4,1.1,1.7,1.9,1.7,1.4,2,1.8,2.5,2.1,1.8,2.1,2.5,2.4,2.6,1.4,1.3,2.4,1.9,1.6
mwi,Malawi,145,136,149,133,140,147,149,148,141,141,147,129,111,101,86,70,59,48,46,39,40,39,28,23,22
mys,Malaysia,14,13,10,10,8.8,11,10,8.8,10,9.9,9,8.6,7.3,7.2,7.2,6.9,7.7,7.3,6.1,6.6,5.8,7.6,8.5,8.2,8.3
nam,Namibia,327,331,383,381,381,384,374,361,300,289,256,219,204,190,184,153,152,138,133,114,107,105,103,97,93
ner,Niger,22,26,30,28,32,32,33,33,35,33,33,29,27,25,24,22,22,19,18,16,16,14,13,12,13
nga,Nigeria,110,99,100,96,91,89,88,85,88,87,89,89,87,86,87,86,83,81,81,77,73,60,46,31,26
nic,Nicaragua,7.4,6.8,5.4,6.2,5.5,5.4,4.5,4.3,3.6,3.5,4.2,3.6,3.3,2.8,2.4,2.9,2.7,2.6,2.3,2.2,2.3,2.1,2.5,2.7,2.7
nld,Netherlands,0.73,0.71,0.59,0.57,0.55,0.52,0.54,0.39,0.37,0.44,0.38,0.27,0.25,0.27,0.24,0.25,0.21,0.18,0.2,0.14,0.21,0.14,0.13,0.14,0.14
nor,Norway,1.3,1.3,0.85,1.3,1.1,1,0.9,0.8,0.59,0.63,0.62,0.64,0.48,0.44,0.28,0.25,0.39,0.28,0.19,0.31,0.16,0.22,0.11,0.08,0.08
npl,Nepal,134,129,123,114,112,105,103,98,95,88,83,79,76,74,68,67,66,64,61,59,59,59,58,54,54
nru,Nauru,1.2,0.89,1.5,0.9,2,3.3,3.6,0.9,1.5,1.2,0.9,1.5,1.8,2,2.2,2.7,2.7,2.4,1.3,4.4,3.3,5.4,4.8,4.6,4.8
nzl,New Zealand,0.78,0.41,0.5,0.78,0.81,0.57,0.58,0.41,0.4,0.4,0.42,0.37,0.25,0.27,0.3,0.46,0.27,0.24,0.23,0.27,0.27,0.28,0.27,0.27,0.28
omn,Oman,1.5,1.3,1.2,1.2,0.97,0.92,0.88,0.94,0.77,0.64,0.63,0.65,0.69,0.52,0.47,0.46,0.53,0.42,0.43,0.46,0.44,0.4,0.42,0.42,0.39
pak,Pakistan,38,36,36,35,34,32,31,30,30,29,27,27,27,26,25,23,22,22,21,20,22,23,20,20,21
pan,Panama,10,11,9.5,9.6,8.7,10,9,9.1,10,9.6,8.1,7.4,7.8,7.8,6.8,8.1,7.2,8.4,7.4,6.9,6.8,7.3,7.4,6.7,6.9
per,Peru,28,21,18,15,14,13,13,11,11,8.8,8.6,9.9,9.3,8.3,7.7,7.9,8.7,7.1,9.3,9.4,9.7,11,13,12,11
phl,Philippines,44,43,44,42,40,38,38,34,34,34,33,31,30,29,30,28,31,29,28,28,32,37,36,34,32
plw,Palau,1.7,1.6,1.7,1.4,0.76,1.5,1.8,1.7,2.4,3,3.1,2.4,0.68,1.7,2.4,2.4,3.9,3.4,2.9,1,1.7,1.3,1.2,2.5,0.85
png,Papua New Guinea,406,351,326,283,256,233,213,182,174,176,167,176,156,157,155,165,161,165,158,149,159,161,141,127,122
pol,Poland,3.6,3.3,3,2.9,2.6,2.5,2.3,2.3,2.4,2.2,1.7,1.9,1.9,1.6,1.6,1.6,1.6,1.5,1.6,1.4,1.4,1.3,1.7,1.3,1.3
prt,Portugal,8.7,8.1,7.5,6.7,6.5,5.6,4.8,4.3,3.7,3.8,2.9,3.1,3,2.9,2.9,2.8,2.5,2.3,2.7,2.1,2,2.6,1.8,2.6,1.7
pry,Paraguay,8.2,7.1,6.6,6.5,7,6.8,6.4,4.1,5.8,5,4.5,6.3,5.1,5.3,5.3,5.1,5.6,4.8,4.9,5.3,4.7,5.2,4.1,5.3,5.4
pse,Palestine,1.4,1,0.74,0.48,0.28,0.32,0.45,0.33,0.37,0.31,0.25,0.25,0.23,0.25,0.27,0.24,0.2,0.15,0.15,0.1,0.11,0.1,0.09,0.06,0.04
qat,Qatar,1.2,1,0.82,0.48,0.53,0.37,0.33,0.32,0.34,0.29,0.29,0.31,0.31,0.31,0.32,0.31,0.3,0.3,0.3,0.3,0.31,0.32,0.32,0.34,0.31
rou,Romania,11,12,12,11,10,9,8.7,8.4,9.2,8.2,8.4,7.1,6.9,6.3,6.3,5.9,5.4,5.1,5.1,5,4.7,4.8,5.1,5.4,5.4
rus,Russia,21,21,22,23,23,24,21,19,19,18,17,16,14,13,12,11,9.6,8.2,7.4,6.5,7.5,7.1,4.9,4.5,4.2
rwa,Rwanda,77,63,50,39,34,30,22,18,15,13,12,11,10,10,9.8,10,9.1,9.1,8.8,8.7,10,11,4.8,2.5,3.4
sau,Saudi Arabia,2.7,2.5,2.4,2.2,2,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,0.95,0.88,0.85,0.81,0.72,0.68,0.63,0.44,0.54,0.57,0.57
sdn,Sudan,36,33,33,33,34,34,37,36,27,29,28,24,24,23,21,19,15,13,12,10,12,9.9,7.8,11,9
sen,Senegal,46,47,50,47,50,49,49,49,47,46,46,47,42,39,38,37,36,33,31,30,30,28,25,21,22
sgp,Singapore,5.6,4.8,4.2,3.8,3.3,2.7,2.3,2.6,2.4,2.1,2.1,1.9,1.6,1.3,1.5,1,1,0.79,0.7,0.56,0.5,0.31,0.48,0.48,0.45
